ID,Infested,PopulationM,Anglers,Canadian
J50000,False,0.74,0.05,True
J50001,False,0.14,6.413e-03,True
J50002,False,0.73,0.21,False
J54126,True,13.79,0.92,True
J54127,True,8.26,0.71,True
J54128,True,1.29,0.13,True
J54129,False,1.90,0.10,True
J54130,False,1.90,0.10,True
J54131,False,0.34,0.01,True
J54132,False,0.52,0.07,True
J54133,False,0.94,0.05,True
J54134,False,0.04,4.5e-03,True
J54136,True,4.86,0.47,False
J54137,True,6.93,0.53,False
J54138,True,2.98,0.45,False
J54139,True,39.25,1.57,False
J54140,True,5.54,0.59,False
J54141,True,3.57,0.27,False
J54142,True,0.95,0.05,False
J54143,True,20.61,1.89,False
J54144,True,10.31,0.76,False
J54145,False,1.68,0.23,False
J54146,True,12.80,0.95,False
J54147,True,6.63,0.72,False
J54148,True,3.13,0.41,False
J54149,True,2.90,0.37,False
J54150,True,4.43,0.45,False
J54151,True,4.68,0.69,False
J54152,True,1.33,0.19,False
J54153,True,6.01,0.34,False
J54154,True,6.81,0.37,False
J54155,True,9.92,1.39,False
J54156,True,5.51,1.30,False
J54157,True,6.09,0.82,False
J54158,True,2.98,0.59,False
J54159,True,1.04,0.18,False
J54160,True,1.90,0.17,False
J54161,True,2.94,0.11,False
J54162,True,1.33,0.15,False
J54163,True,8.94,0.50,False
J54164,True,2.08,0.21,False
J54165,True,19.74,1.58,False
J54166,True,10.14,1.19,False
J54167,True,0.75,0.22,False
J54168,True,11.61,1.25,False
J54169,True,3.92,0.68,False
J54170,False,4.09,0.37,False
J54171,True,12.80,0.89,False
J54172,True,1.05,0.07,False
J54173,True,1.13,0.14,True
J54174,True,4.96,0.56,False
J54175,True,0.86,0.15,False
J54176,True,6.65,0.70,False
J54177,True,27.86,2.13,False
J54178,True,3.05,0.34,False
J54179,True,0.62,0.09,False
J54180,True,8.41,0.64,False
J54181,False,0.81,0.15,False
J54182,False,3.71,0.68,False
J54183,True,1.83,0.22,False
J54184,True,5.77,0.91,False
J54185,False,0.58,0.10,False
J54186,False,0.03,6.755e-03,True
